Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,LowDoc,ChgOffPrinGr,SBA_Appv,DaysforDisbursement,Default
36,63,Existing,13,8,0,Urban,Yes,41401,751040,24,1
60,96,New,19,32,1,Urban,Yes,11372,536338,45,0
12,52,Existing,4,19,0,Rural,No,8996,119996,35,1
36,96,New,11,12,0,Rural,No,16458,568221,48,0
36,4,Existing,15,27,1,Rural,Yes,31889,559239,6,0
60,94,New,15,47,0,Rural,Yes,26665,566701,19,0
12,23,Existing,6,28,1,Urban,No,38243,175873,30,0
12,15,New,3,12,1,Urban,No,31653,720979,7,1
36,43,Existing,0,45,1,Rural,Yes,26657,960417,10,0
24,29,Existing,4,34,0,Urban,No,39952,909005,41,0
36,36,Existing,9,5,0,Rural,Yes,22180,443816,32,1
36,13,New,4,17,0,Rural,Yes,31896,723135,34,1
36,32,Existing,3,4,1,Rural,Yes,12875,231888,28,1
36,71,New,1,46,0,Urban,Yes,1622,795332,15,0
60,59,Existing,19,24,0,Rural,Yes,48756,755453,30,1
12,86,New,9,1,0,Rural,No,40809,777950,37,1
60,28,Existing,18,9,1,Rural,No,16725,176472,29,0
60,66,New,0,29,1,Urban,No,40760,407710,22,1
60,42,New,4,49,0,Urban,No,15646,221760,4,1
36,45,Existing,12,44,0,Rural,Yes,17029,132744,20,1
24,62,New,3,4,0,Urban,Yes,29402,885863,32,1
12,57,New,15,32,0,Urban,Yes,4263,740051,36,0
24,6,Existing,15,0,1,Urban,Yes,30987,511946,50,1
60,28,New,1,17,1,Urban,No,46828,53001,4,1
60,28,New,16,31,1,Urban,Yes,47924,601652,27,0
24,44,New,19,46,1,Urban,Yes,8646,921420,17,1
24,84,Existing,11,48,0,Urban,No,27529,841460,12,0
24,30,New,17,10,0,Urban,No,11664,248506,22,1
60,62,Existing,2,20,0,Urban,No,35737,763019,17,0
60,75,New,0,25,1,Urban,No,35796,440789,10,0
12,92,New,0,24,0,Rural,Yes,24027,666166,54,0
12,89,New,18,21,1,Rural,Yes,29373,920775,1,0
60,62,Existing,10,26,1,Urban,No,36397,721998,22,1
24,97,New,4,48,0,Rural,Yes,20609,662589,26,0
24,1,New,11,12,0,Rural,Yes,35835,922727,56,1
12,27,Existing,2,32,0,Urban,Yes,38709,509722,59,0
60,62,New,0,33,1,Urban,No,19250,695117,18,0
12,77,Existing,0,40,0,Urban,Yes,21172,568924,50,0
12,3,Existing,7,34,1,Rural,No,11555,745457,14,1
36,70,New,9,0,0,Rural,Yes,21874,189352,47,0
36,72,Existing,10,20,1,Urban,Yes,13081,820694,29,1
36,27,New,11,47,1,Urban,Yes,24063,876867,12,1
24,9,Existing,12,5,0,Urban,No,6819,203283,36,1
60,62,Existing,11,27,1,Rural,Yes,25712,982346,59,1
60,37,New,13,16,1,Rural,No,24762,925015,35,1
60,97,Existing,1,4,0,Rural,No,11046,460195,52,1
60,51,Existing,18,30,1,Rural,No,31463,779884,12,1
36,44,Existing,17,4,0,Urban,Yes,28769,441413,7,1
24,24,Existing,2,37,1,Urban,Yes,23150,313988,29,1
24,79,Existing,16,2,0,Urban,Yes,2711,336898,11,0
36,59,New,7,22,0,Urban,Yes,4853,961661,33,0
24,32,Existing,9,36,1,Rural,No,29077,873561,6,0
36,96,New,1,36,1,Rural,No,23863,312186,47,0
60,88,Existing,18,9,1,Urban,No,21792,71665,15,0
36,52,New,8,9,1,Urban,Yes,40483,256584,32,1
60,62,New,6,18,1,Rural,No,8942,126953,51,1
60,58,Existing,3,16,0,Urban,Yes,48275,486072,11,1
12,52,Existing,17,20,1,Rural,No,48594,692736,58,1
36,12,Existing,12,13,0,Urban,Yes,1762,196626,23,1
12,39,New,10,8,0,Urban,Yes,31987,155271,26,1
36,2,Existing,3,45,1,Urban,No,15850,128533,34,1
36,3,New,3,0,0,Urban,No,12112,978452,46,0
12,56,New,9,44,0,Urban,No,24058,608069,34,0
12,81,New,4,12,0,Urban,No,45420,475966,29,0
36,59,Existing,8,3,0,Urban,Yes,38890,76262,4,0
24,2,Existing,2,0,1,Rural,No,481,843032,17,1
60,2,New,16,48,0,Rural,No,47304,86898,35,1
12,92,New,2,39,1,Rural,No,32921,465699,13,1
60,54,Existing,15,31,1,Rural,Yes,40385,159369,41,0
24,87,New,3,33,0,Rural,Yes,1524,564736,39,1
24,96,Existing,17,27,1,Urban,No,34888,298316,15,1
24,97,New,16,30,1,Urban,Yes,15048,970378,55,1
12,1,Existing,6,7,1,Rural,No,35111,17657,29,0
24,19,New,4,38,0,Urban,Yes,37904,487602,29,1
12,2,Existing,11,25,1,Rural,Yes,34008,790977,11,0
24,53,New,16,33,1,Rural,Yes,60,952929,52,0
60,44,Existing,12,2,1,Urban,Yes,9130,954189,32,0
60,90,Existing,2,49,0,Urban,No,18023,384999,2,0
36,32,New,8,11,1,Urban,No,45080,952082,47,1
60,70,New,16,0,0,Rural,No,13350,694191,14,0
36,32,Existing,16,43,0,Urban,Yes,24354,17906,20,0
60,68,New,19,4,0,Rural,No,45186,333557,22,1
12,55,Existing,15,29,0,Rural,No,28145,588316,11,1
60,75,New,12,29,0,Rural,No,34020,803719,27,0
36,56,Existing,18,16,0,Urban,Yes,20587,305804,3,1
36,17,Existing,16,47,1,Urban,Yes,41131,478974,17,0
24,38,Existing,3,46,0,Rural,Yes,9650,856936,44,0
12,24,Existing,11,22,1,Urban,No,19933,725080,56,0
60,69,Existing,8,14,1,Urban,No,20581,637267,28,0
24,98,Existing,18,36,0,Urban,No,23393,44701,29,1
60,70,New,11,20,1,Rural,Yes,23051,93300,21,0
60,86,New,8,13,1,Rural,Yes,26212,775537,47,1
24,11,New,6,1,1,Urban,No,49082,683034,16,1
24,16,Existing,13,10,1,Rural,Yes,4090,93560,37,1
24,97,Existing,19,38,0,Urban,Yes,6960,252615,59,1
24,73,Existing,18,37,1,Urban,Yes,35772,951378,20,0
24,59,Existing,14,33,0,Urban,Yes,21520,53642,6,1
60,70,New,15,37,1,Urban,No,49481,527083,19,0
24,80,New,4,49,1,Rural,Yes,36408,501036,57,1
12,93,Existing,2,33,0,Rural,Yes,28470,337304,5,1
36,3,New,11,17,1,Rural,Yes,20491,814034,3,0
24,20,New,19,29,1,Urban,Yes,1341,375464,59,0
24,59,Existing,3,14,1,Urban,No,44623,623089,1,0
60,36,New,15,26,0,Urban,No,24791,298075,58,1
24,19,Existing,6,33,1,Rural,Yes,338,104377,38,1
24,90,New,12,37,0,Urban,Yes,5895,825624,15,0
24,67,Existing,9,32,1,Rural,Yes,12254,842974,34,0
60,19,Existing,6,23,0,Rural,Yes,11344,923447,35,0
24,20,Existing,13,14,0,Rural,Yes,1750,838952,49,0
36,96,Existing,4,29,1,Rural,Yes,2421,336916,25,1
60,71,New,2,41,1,Rural,No,39887,461978,24,0
36,52,Existing,10,16,0,Rural,Yes,5319,322250,12,0
60,33,Existing,10,4,0,Urban,No,15896,615409,18,0
24,40,Existing,17,28,1,Urban,No,11918,35559,15,0
36,39,New,14,3,0,Rural,Yes,25064,902027,44,1
60,82,Existing,11,9,1,Rural,No,46617,568030,16,0
12,1,New,8,16,1,Urban,No,27935,866101,27,1
24,11,Existing,9,9,1,Rural,No,37641,687114,8,0
60,92,New,11,16,1,Rural,No,29711,145044,46,0
